SetId,MemberId,SetDesc,MemberDesc
1050,0,(0-8) Stages,0 Stages
1050,1,(0-8) Stages,1 Stage
1050,2,(0-8) Stages,2 Stages
1050,3,(0-8) Stages,3 Stages
1050,4,(0-8) Stages,4 Stages
1050,5,(0-8) Stages,5 Stages
1050,6,(0-8) Stages,6 Stages
1050,7,(0-8) Stages,7 Stages
1050,8,(0-8) Stages,8 Stages
33004,0,*0 Hours/1 Hour/2 Hours/3 Hours,0 Hours
33004,1,*0 Hours/1 Hour/2 Hours/3 Hours,1 Hour
33004,10,*0 Hours/1 Hour/2 Hours/3 Hours,10 Hours
33004,11,*0 Hours/1 Hour/2 Hours/3 Hours,11 Hours
33004,12,*0 Hours/1 Hour/2 Hours/3 Hours,12 Hours
33004,13,*0 Hours/1 Hour/2 Hours/3 Hours,13 Hours
33004,14,*0 Hours/1 Hour/2 Hours/3 Hours,14 Hours
33004,15,*0 Hours/1 Hour/2 Hours/3 Hours,15 Hours
33004,16,*0 Hours/1 Hour/2 Hours/3 Hours,16 Hours
33004,17,*0 Hours/1 Hour/2 Hours/3 Hours,17 Hours
33004,18,*0 Hours/1 Hour/2 Hours/3 Hours,18 Hours
33004,19,*0 Hours/1 Hour/2 Hours/3 Hours,19 Hours
33004,2,*0 Hours/1 Hour/2 Hours/3 Hours,2 Hours
33004,20,*0 Hours/1 Hour/2 Hours/3 Hours,20 Hours
33004,21,*0 Hours/1 Hour/2 Hours/3 Hours,21 Hours
33004,22,*0 Hours/1 Hour/2 Hours/3 Hours,22 Hours
33004,23,*0 Hours/1 Hour/2 Hours/3 Hours,23 Hours
33004,24,*0 Hours/1 Hour/2 Hours/3 Hours,24 Hours
33004,3,*0 Hours/1 Hour/2 Hours/3 Hours,3 Hours
33004,4,*0 Hours/1 Hour/2 Hours/3 Hours,4 Hours
33004,5,*0 Hours/1 Hour/2 Hours/3 Hours,5 Hours
33004,6,*0 Hours/1 Hour/2 Hours/3 Hours,6 Hours
33004,7,*0 Hours/1 Hour/2 Hours/3 Hours,7 Hours
33004,8,*0 Hours/1 Hour/2 Hours/3 Hours,8 Hours
33004,9,*0 Hours/1 Hour/2 Hours/3 Hours,9 Hours
33007,0,*0.5 minu/1 minute/1.5 minu/2 minute,0.5 minute
33007,1,*0.5 minu/1 minute/1.5 minu/2 minute,1 minute
33007,2,*0.5 minu/1 minute/1.5 minu/2 minute,1.5 minutes
33007,3,*0.5 minu/1 minute/1.5 minu/2 minute,2 minutes
33007,4,*0.5 minu/1 minute/1.5 minu/2 minute,2.5 minutes
33007,5,*0.5 minu/1 minute/1.5 minu/2 minute,3 minutes
33007,6,*0.5 minu/1 minute/1.5 minu/2 minute,3.5 minutes
33007,7,*0.5 minu/1 minute/1.5 minu/2 minute,4 minutes
33007,8,*0.5 minu/1 minute/1.5 minu/2 minute,4.5 minutes
33007,9,*0.5 minu/1 minute/1.5 minu/2 minute,5 minutes
33007,10,*0.5 minu/1 minute/1.5 minu/2 minute,5.5 minutes
33007,11,*0.5 minu/1 minute/1.5 minu/2 minute,6 minutes
33007,12,*0.5 minu/1 minute/1.5 minu/2 minute,6.5 minutes
33007,13,*0.5 minu/1 minute/1.5 minu/2 minute,7 minutes
33007,14,*0.5 minu/1 minute/1.5 minu/2 minute,7.5 minutes
33007,15,*0.5 minu/1 minute/1.5 minu/2 minute,8 minutes
33007,16,*0.5 minu/1 minute/1.5 minu/2 minute,8.5 minutes
33007,17,*0.5 minu/1 minute/1.5 minu/2 minute,9 minutes
33005,7,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",10.0 F / 5.6 C
33005,0,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",3.0 F / 1.2 C
33005,1,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",4.0 F / 1.7 C
33005,2,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",5.0 F / 2.2 C
33005,3,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",6.0 F / 2.8 C
33005,4,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",7.0 F / 3.3 C
33005,5,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",8.0 F / 3.9 C
33005,6,"*3.0 F / /4.0 F / /5.0 F / /6.0 F / ",9.0 F / 5.0 C
33008,0,*Closed/Open,Closed
33008,1,*Closed/Open,Open
33002,0,*Local Oc/Occupied/Unoccupi,Local Occupancy
33002,1,*Local Oc/Occupied/Unoccupi,Occupied
33002,2,*Local Oc/Occupied/Unoccupi,Unoccupied
33001,1,*No Motio/Motion,Motion
33001,0,*No Motio/Motion,No Motion
33000,1,*Not Acti/Activate,Activated
33000,0,*Not Acti/Activate,Not Activated
33003,0,*Occupied/Unoccupi/Temporar/Stand-by,Occupied
33003,3,*Occupied/Unoccupi/Temporar/Stand-by,Stand-by
33003,2,*Occupied/Unoccupi/Temporar/Stand-by,Temporary Occupied
33003,1,*Occupied/Unoccupi/Temporar/Stand-by,Unoccupied
33006,1,*Released/Occupied/Unoccupi,Occupied
33006,0,*Released/Occupied/Unoccupi,Released
33006,2,*Released/Occupied/Unoccupi,Unoccupied
231,3,100 Normal,Cooling
231,4,100 Normal,Fan Only
231,2,100 Normal,Heating
231,5,100 Normal,Minimum DAT Control
231,1,100 Normal,Normal Start
231,0,100 Normal,Not Operating
232,3,100 Top,Calibrate
232,2,100 Top,Normal Operation
232,0,100 Top,Off
232,1,100 Top,Start Initial
233,2,2nd P Sensor,Bldg
233,1,2nd P Sensor,Duct
233,0,2nd P Sensor,None
30000,2,A Custom Enum,!$dgfhdgf
30000,4,A Custom Enum,%$äertert
30000,1,A Custom Enum,5q34t5f
30000,0,A Custom Enum,Dawn is the Best!
30000,3,A Custom Enum,hjfhgj
88,0,Absent Present,Absent
88,2,Absent Present,Hold
88,1,Absent Present,Present
655,0,Absent/Present,Absent
655,1,Absent/Present,Present
1221,3,Access Control Present Value,Fault
1221,0,Access Control Present Value,Not Initialized
1221,1,Access Control Present Value,Operational
1221,2,Access Control Present Value,Unknown
981,1,Access Grant Detail,By Access Group
981,2,Access Grant Detail,By Access Level
981,3,Access Grant Detail,By Access Level and Group
981,4,Access Grant Detail,By Access Mask
981,5,Access Grant Detail,By Access Mask and Group
981,6,Access Grant Detail,By Access Mask and Level
981,7,Access Grant Detail,"By Access Mask, Level and Group"
981,8,Access Grant Detail,By Executive Privilege
981,9,Access Grant Detail,By Security Level and Mask
981,0,Access Grant Detail,N/A
51,6,Access Level,Configure
51,3,Access Level,Intervene
51,5,Access Level,Modify
51,0,Access Level,No Access
51,2,Access Level,Operate
51,4,Access Level,Supervise
51,1,Access Level,View
807,2,Access Mode,Central
807,0,Access Mode,Local
807,1,Access Mode,Shared
326,1,Access Model,Group
326,11,Access Model,Group and (Level or Mask)
326,7,Access Model,Group and Level
326,17,Access Model,Group and Level and Mask
326,10,Access Model,Group or (Level and Mask)
326,4,Access Model,Group or Level
326,16,Access Model,Group or Level or Mask
326,2,Access Model,Level
326,13,Access Model,Level and (Mask or Group)
326,8,Access Model,Level and Mask
326,12,Access Model,Level or (Mask and Group)
326,5,Access Model,Level or Mask
326,3,Access Model,Mask
326,15,Access Model,Mask and (Group or Level)
326,9,Access Model,Mask and Group
326,14,Access Model,Mask or (Group and Level)
326,6,Access Model,Mask or Group
326,0,Access Model,None
294,1010,Access Privileges,Advanced Reporting
294,10,Access Privileges,Advanced View
294,1007,Access Privileges,Clear Audit History
294,6,Access Privileges,Configure Items
294,9,Access Privileges,Diagnostic
294,1002,Access Privileges,Discard Acknowledged Events
294,1003,Access Privileges,Discard All Events
294,2,Access Privileges,Intervene
294,1006,Access Privileges,Manage Audit History
294,1000,Access Privileges,Manage Devices & Sites
294,4,Access Privileges,Manage Energy
294,5,Access Privileges,Manage Item Events
294,1005,Access Privileges,Manage System Events
294,7,Access Privileges,Modify Items
294,0,Access Privileges,No Access
294,1,Access Privileges,Operate
294,1009,Access Privileges,Schedule Reports
294,1004,Access Privileges,Snooze All Events
294,3,Access Privileges,Supervise
294,1008,Access Privileges,System Configuration Tool
294,8,Access Privileges,View
294,1001,Access Privileges,View Metasys Status
773,1,Access Request,Grant
773,2,Access Request,Grant Alternate
773,0,Access Request,None
290,0,Act Feedback Type,2 Wire
290,1,Act Feedback Type,3 Wire
1254,3,Action To Take,Contact Maintenance
1254,0,Action To Take,No Action
1254,1,Action To Take,Unit Failure
1254,2,Action To Take,Unit Fault
567,0,Action When Full,Rollover
567,1,Action When Full,Stop
134,2,Active Filter,Filter A
134,4,Active Filter,Filter A and B
134,3,Active Filter,Filter B
134,1,Active Filter,Pass All
134,0,Active Filter,Pass None
